id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Broken Clocks,The Hollow,folk,sad,0.31,68,0.22,0.38,0.94
12,Block Party,Krave,hip-hop,energetic,0.88,97,0.78,0.91,0.08
13,Velvet Underground,Sable Rose,r&b,romantic,0.55,85,0.88,0.67,0.42
14,Thunderclap,Iron Fist,metal,intense,0.97,180,0.31,0.44,0.06
15,Golden Hour,Calla June,country,relaxed,0.48,94,0.76,0.61,0.77
16,Neon Pulse,Circuit Nine,electronic,energetic,0.94,140,0.62,0.87,0.04
17,Rainy Window,Solenne,classical,melancholic,0.23,52,0.34,0.29,0.97
18,Daydream Drifter,Pale Tide,indie pop,uplifting,0.61,108,0.85,0.70,0.48
19,Late Night Smoke,Caramel Jones,jazz,moody,0.44,88,0.53,0.50,0.83
20,Golden Disco,Prism Era,pop,energetic,0.87,128,0.82,0.90,0.08
21,Blue Monday,Static Haze,pop,moody,0.65,110,0.38,0.72,0.14
22,Pink Confetti,Sugarcoat,pop,happy,0.79,122,0.90,0.85,0.12
23,Slow Motion,Velvet Sky,pop,romantic,0.52,96,0.78,0.63,0.31
24,Headphones In,Cue Drop,pop,focused,0.70,115,0.65,0.75,0.10
25,Electric Dreams,Synthara,pop,uplifting,0.83,125,0.88,0.82,0.07
26,Rain Texture,LoRoom,lofi,chill,0.30,70,0.52,0.55,0.91
27,Pencil Sketch,Dusty Notes,lofi,relaxed,0.25,65,0.48,0.44,0.95
28,Afternoon Haze,Paper Lanterns,lofi,chill,0.38,74,0.61,0.60,0.82
29,Study Lamp,Quiet Type,lofi,focused,0.33,68,0.54,0.50,0.88
30,Fog Garden,Orbit Bloom,ambient,melancholic,0.20,55,0.40,0.35,0.96
31,Voltage,Iron Fist,rock,intense,0.89,148,0.42,0.65,0.09
32,Overdrive,Redline,rock,energetic,0.92,158,0.55,0.70,0.06
33,Smoke Signal,The Hollow,rock,moody,0.74,118,0.36,0.68,0.18
34,Shatter,Voltline,metal,intense,0.96,175,0.28,0.48,0.04
35,Concrete Jungle,Redline,rock,intense,0.85,140,0.44,0.62,0.11
36,Velvet Cafe,Caramel Jones,jazz,relaxed,0.40,88,0.70,0.55,0.85
37,Blue Notes,Slow Stereo,jazz,sad,0.32,75,0.25,0.40,0.90
38,Smooth Operator,Sable Rose,r&b,romantic,0.58,92,0.85,0.72,0.38
39,After Midnight,Caramel Jones,r&b,moody,0.50,84,0.46,0.62,0.50
40,Satin Sheets,Velvet Sky,r&b,romantic,0.48,80,0.90,0.65,0.44
41,808 Bounce,Krave,hip-hop,energetic,0.86,95,0.72,0.92,0.06
42,Street Anthem,Block Squad,hip-hop,intense,0.90,100,0.60,0.88,0.05
43,Late Night Bars,Krave,hip-hop,moody,0.62,88,0.44,0.78,0.15
44,Bass Drop,Circuit Nine,electronic,energetic,0.96,145,0.58,0.90,0.03
45,Pulse Wave,Synthara,electronic,intense,0.92,138,0.50,0.88,0.05
46,Wildflower,Calla June,folk,relaxed,0.35,82,0.72,0.48,0.88
47,Campfire Song,The Hollow,folk,uplifting,0.42,90,0.80,0.55,0.78
48,Lost Letters,Pale Tide,indie pop,sad,0.44,98,0.30,0.52,0.60
49,Golden Fields,Indigo Parade,indie pop,uplifting,0.68,112,0.88,0.74,0.40
50,Soft Landing,Pale Tide,indie pop,relaxed,0.50,104,0.75,0.65,0.52
51,Pickup Truck,Calla June,country,relaxed,0.52,98,0.78,0.64,0.70
52,Honky Tonk,Dusty Roads,country,energetic,0.80,118,0.72,0.80,0.30
53,Moonlight Sonata Redux,Solenne,classical,melancholic,0.18,48,0.28,0.22,0.99
54,Spring Waltz,Vienna Strings,classical,uplifting,0.30,140,0.68,0.35,0.95
55,Nocturne,Solenne,classical,relaxed,0.22,56,0.55,0.28,0.98
56,Retrowave Highway,Neon Echo,synthwave,moody,0.78,112,0.52,0.76,0.18
57,Chrome City,Circuit Nine,synthwave,energetic,0.85,125,0.65,0.82,0.10
58,Vapor Trail,Neon Echo,synthwave,chill,0.55,100,0.60,0.65,0.28
59,Eclipse,Orbit Bloom,ambient,melancholic,0.15,50,0.35,0.30,0.98
